City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Weleri,ID,88.93,broken clouds,-6.9713,110.0666,Pengobatan Tradisional Weleri
641,Paka,MY,84.88,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
642,Alyangula,AU,86.63,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
644,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
646,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
647,Ranong,TH,80.85,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
649,Presidente Medici,BR,81.55,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
650,Presidencia Roque Saenz Pena,AR,75.25,thunderstorm,-26.7852,-60.4388,Hotel Aconcagua
655,Brisbane,AU,86.16,few clouds,-27.4679,153.0281,Royal On The Park Brisbane
659,Maryborough,AU,79.11,light rain,-25.5333,152.7,Blue Shades Motel
666,Road Town,VG,83.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
668,Luganville,VU,81.81,broken clouds,-15.5333,167.1667,The Espiritu Hotel
670,Morondava,MG,75.18,clear sky,-20.2833,44.2833,La Case Bambou
671,Amahai,ID,86.09,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
673,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
674,Lucea,JM,77.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
678,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
679,Coahuayana,MX,81.88,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
680,Axim,GH,77.56,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
