City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Rigaud,CA,2021-10-06 17:53:07,45.4793,-74.3024,70.34,66,9,3.83
264,Shache,CN,2021-10-06 17:53:07,38.4167,77.2406,58.33,35,1,3.74
265,Lazaro Cardenas,MX,2021-10-06 17:53:08,17.9583,-102.2,86.45,68,92,4.92
266,Dixon,US,2021-10-06 17:53:09,38.4455,-121.8233,72.19,59,1,5.75
267,Waitati,NZ,2021-10-06 17:53:09,-45.75,170.5667,50.2,91,100,3.22
268,Takoradi,GH,2021-10-06 17:52:41,4.8845,-1.7554,79.52,84,80,9.01
269,Bandar-E Lengeh,IR,2021-10-06 17:53:10,26.5579,54.8807,87.91,74,8,4.61
270,Marzuq,YE,2021-10-06 17:53:11,14.4,46.4667,83.89,32,43,2.04
271,Buraydah,SA,2021-10-06 17:49:59,26.326,43.975,90.05,16,0,8.14
272,Busdi,PH,2021-10-06 17:53:11,8.2761,125.2514,67.87,97,91,2.98
273,Santa Maria,BR,2021-10-06 17:49:10,-29.6842,-53.8069,65.5,72,0,3.44
274,Osmena,PH,2021-10-06 17:53:12,10.5208,119.9258,82.69,76,93,8.63
275,Margate,GB,2021-10-06 17:53:13,51.3813,1.3862,57.69,77,84,8.84
276,Saldanha,ZA,2021-10-06 17:48:26,-33.0117,17.9442,77.05,60,4,13.09
277,Kidodi,TZ,2021-10-06 17:53:14,-7.6036,37.0044,76.86,42,60,1.52
278,Siparia,TT,2021-10-06 17:53:14,10.1333,-61.5,92.82,61,10,12.15
279,Tevaitoa,PF,2021-10-06 17:53:15,-16.7833,-151.5,78.1,68,6,12.91
280,Bandarbeyla,SO,2021-10-06 17:53:15,9.4942,50.8122,79.68,82,43,23.58
281,Alice Springs,AU,2021-10-06 17:53:16,-23.7,133.8833,62.15,82,90,3.44
282,Beidao,CN,2021-10-06 17:53:17,34.5686,105.8933,51.6,93,94,3.49
